order_id,customer_id,order_date,status,region_code
1,558,2024-12-04 17:09:35,CANCELLED,SOUTH
2,159,2025-02-05 01:14:30,CANCELLED,NORTH
3,,2024-10-25 18:58:36,DELIVERED,NORTH
4,69,2024-08-19 08:51:03,DELIVERED,NORTH
5,46,2025-06-17 01:20:46,DELIVERED,NORTH
6,297,2024-10-05 21:05:13,DELIVERED,EAST
7,329,2024-12-02 00:06:20,SHIPPED,CENTRAL
8,308,2024-11-15 20:37:13,RETURNED,SOUTH
9,438,2025-06-29 17:48:26,RETURNED,WEST
10,327,2025-05-18 20:12:48,DELIVERED,SOUTH
11,485,2024-04-20 03:58:21,DELIVERED,SOUTH
12,60,2025-06-15 19:38:02,DELIVERED,CENTRAL
13,249,2024-10-28 00:43:54,DELIVERED,WEST
14,95,2025-03-31 00:29:06,SHIPPED,EAST
15,41,2023-10-23 12:47:53,DELIVERED,CENTRAL
16,214,2025-01-20 07:27:08,RETURNED,SOUTH
17,121,2025-06-12 01:25:08,DELIVERED,SOUTH
18,210,2024-10-13 01:45:26,DELIVERED,EAST
19,547,2024-11-06 21:02:32,DELIVERED,CENTRAL
20,478,2025-01-19 03:32:51,DELIVERED,EAST
21,380,2025-03-05 12:38:40,DELIVERED,SOUTH
22,17,2025-03-10 06:35:27,DELIVERED,WEST
23,201,2024-03-04 05:08:04,DELIVERED,SOUTH
24,346,2024-05-04 20:55:06,DELIVERED,WEST
25,361,2025-04-09 20:50:07,DELIVERED,SOUTH
26,556,2025-04-14 12:11:43,DELIVERED,NORTH
27,50,14-01-2025 16:18:31,SHIPPED,SOUTH
28,155,2025-05-31 10:39:02,DELIVERED,NORTH
29,495,2025-05-29 00:14:37,PLACED,CENTRAL
30,18,2025-05-03 19:15:54,DELIVERED,EAST
31,,2025-02-21 14:20:57,DELIVERED,SOUTH
32,99,2025-05-25 15:37:34,SHIPPED,CENTRAL
33,363,2024-06-12 15:17:39,PLACED,WEST
34,250,2025-04-20 13:25:37,DELIVERED,NORTH
35,33,2024-08-28 07:29:16,DELIVERED,WEST
36,10,2024-05-14 02:49:17,CANCELLED,EAST
37,98,2025-03-16 05:36:02,SHIPPED,CENTRAL
38,48,2023-11-23 17:56:53,DELIVERED,CENTRAL
39,34,2025-05-15 09:55:34,DELIVERED,SOUTH
40,408,2023-11-07 18:13:07,DELIVERED,CENTRAL
41,399,2025-06-28 13:27:00,DELIVERED,SOUTH
42,81,2024-12-23 23:27:19,DELIVERED,NORTH
43,78,2025-05-03 01:38:19,DELIVERED,CENTRAL
44,335,2025-03-29 18:03:56,DELIVERED,WEST
45,365,2025-06-12 18:41:06,DELIVERED,CENTRAL
46,88,2025-03-06 18:14:37,DELIVERED,NORTH
47,158,2024-09-01 03:42:47,DELIVERED,WEST
48,110,30-04-2025 21:15:29,DELIVERED,EAST
49,105,2024-01-11 22:06:34,DELIVERED,CENTRAL
50,418,19-06-2025 06:05:10,DELIVERED,NORTH
51,333,26-06-2025 16:12:31,DELIVERED,NORTH
52,573,2025-01-05 06:31:27,SHIPPED,WEST
53,276,2024-07-19 21:29:37,SHIPPED,SOUTH
54,432,2025-03-11 09:53:36,PLACED,EAST
55,508,2025-05-18 05:21:12,DELIVERED,SOUTH
56,406,2024-06-07 00:58:39,DELIVERED,EAST
