customer_name_token,total_amount,avg_amount,txn_count
TKN_00e902eb41c31f6a,7576.09,2525.3633333333332,3
TKN_01a9f5096d533e2e,1384.0700000000002,461.35666666666674,3
TKN_020a4014a4b520c2,39944.06,3631.2781818181816,11
TKN_035dcd42d74d04f2,605.9,605.9,1
TKN_0365e1a512f3cb35,46342.41,4212.946363636364,11
TKN_07959ce6ebbc2ed6,24863.48,6215.87,4
TKN_07a7a6d6f445dad4,9244.32,2311.08,4
TKN_0b827098561624fa,13718.6,3429.65,4
TKN_0d4cf00f6d4ea984,33388.270000000004,4769.7528571428575,7
TKN_0dcfba8fe07078cc,16236.81,5412.2699999999995,3
TKN_0e61a6d384c92470,9696.92,2424.23,4
TKN_0ec66fb9c501718b,30925.499999999996,5154.249999999999,6
TKN_0f186ed65ddf6758,2257.9,1128.95,2
TKN_0f45a74fd36c2be4,12589.82,2098.3033333333333,6
TKN_1035b3f2d5a582ef,23331.59,3333.0842857142857,7
TKN_1049cfa9de088ced,34252.369999999995,4893.195714285714,7
TKN_10b3648b57cc6d02,17200.7,4300.175,4
TKN_1451ce60162f6f3c,24709.48,6177.37,4
TKN_15da5e0d38d0e03a,36483.100000000006,4053.6777777777784,9
TKN_165da5533feb80b5,10498.529999999999,2099.7059999999997,5
TKN_1c5cd2cba6a4661f,32240.12,5373.3533333333335,6
TKN_1c7d32197ab3de98,535.5899999999999,267.79499999999996,2
TKN_1f94baae86e43715,6331.22,2110.4066666666668,3
TKN_2010b0ff23b6a774,32735.530000000002,8183.882500000001,4
TKN_20e3a19547514bbe,7313.6900000000005,1828.4225000000001,4
TKN_2134287d9a896f15,4390.25,1097.5625,4
TKN_21cd9c7cfe587667,38754.86,6459.143333333333,6
TKN_247b358f08af8c57,22564.32,5641.08,4
TKN_24a6c27d01cbe6e3,81664.81999999999,7424.074545454545,11
TKN_259c992d7d1e5791,25763.03,3680.432857142857,7
TKN_27b7c673d7f38e67,13864.92,2310.82,6
TKN_29d95ed4c6dbd339,13541.6,2708.32,5
TKN_2a399f1cf39ed793,35132.92,3903.6577777777775,9
TKN_2da03ddb996d3888,16028.53,4007.1325,4
TKN_2e8e7ff6c70f560e,5825.03,970.8383333333333,6
TKN_2fd3be28ea70b212,14312.07,1789.00875,8
TKN_3070ced519749549,25795.95,3224.49375,8
TKN_314555473ae01724,24003.58,4800.716,5
TKN_31c8d748d4b0573e,15563.150000000001,3890.7875000000004,4
TKN_3301b73c8d8e7341,1199.74,599.87,2
TKN_334c0e0e831d9a32,9810.36,1635.0600000000002,6
TKN_33704defc6d45e3c,15931.5,1991.4375,8
TKN_3679263b862f5345,6646.9400000000005,1329.3880000000001,5
TKN_373300f1bacd3921,15364.4,3072.88,5
TKN_37cc59cab29b8ec0,26040.489999999998,5208.098,5
TKN_386ab2df4172a913,30702.19,5117.031666666667,6
TKN_38807ce4f881a34e,36431.68,5204.5257142857145,7
TKN_38d103afa21398ca,26253.199999999997,4375.533333333333,6
TKN_39570c2847e58ddf,6518.35,1629.5875,4
TKN_3aef303eaec08eee,7372.7,1843.175,4
TKN_3cc9c98ae51a448e,21285.050000000003,5321.262500000001,4
TKN_3d5424c118aa8f57,71370.0,11895.0,6
TKN_3eb8ca6026d59bef,22692.91,4538.582,5
TKN_40411bc7d87e7c95,30233.85,5038.974999999999,6
TKN_40b214c4d7542cdc,19330.72,4832.68,4
TKN_41cd8b8b8060fda3,22542.34,4508.468,5
TKN_424149a32978c987,41650.66,10412.665,4
TKN_424e8511ed9109eb,22334.07,5583.5175,4
TKN_448c9246aab828bb,30500.75,5083.458333333333,6
TKN_45c6731875b8ce3b,12095.53,2015.9216666666669,6
TKN_45ebc648209ea2fe,38029.409999999996,6338.235,6
TKN_46f0cc7e92629d54,1021.34,340.44666666666666,3
TKN_47df22b0111bbae1,35824.07,4478.00875,8
TKN_4d6bf43c78bea2f8,26122.100000000002,5224.42,5
TKN_4ee6f5f3ed55227d,47881.34,11970.335,4
TKN_501b33fd816e4d39,60122.1,6012.21,10
TKN_50f16e0f19b6905f,5501.389999999999,2750.6949999999997,2
TKN_585e4d85fd3084e7,5934.120000000001,989.0200000000001,6
TKN_5b6714eeca1617d9,32720.25,5453.375,6
TKN_5bd354b37d231ae1,18799.010000000002,2349.8762500000003,8
TKN_5d9100377e1e5ff0,7333.33,1047.6185714285714,7
TKN_60b7b5180022ed46,29309.129999999997,3663.6412499999997,8
TKN_61375167caaab231,28154.4,3128.266666666667,9
TKN_641a41794957c8a7,49745.65,5527.294444444445,9
TKN_64a284df53547f21,2685.8,1342.9,2
TKN_65411a6ae30d0c68,51726.51,4702.41,11
