order_id,customer_id,order_date,status,region_code,customer_id_missing
1,558.0,2024-12-04 17:09:35,CANCELLED,SOUTH,False
2,159.0,2025-02-05 01:14:30,CANCELLED,NORTH,False
3,,2024-10-25 18:58:36,DELIVERED,NORTH,True
4,69.0,2024-08-19 08:51:03,DELIVERED,NORTH,False
5,46.0,2025-06-17 01:20:46,DELIVERED,NORTH,False
6,297.0,2024-10-05 21:05:13,DELIVERED,EAST,False
7,329.0,2024-12-02 00:06:20,SHIPPED,CENTRAL,False
8,308.0,2024-11-15 20:37:13,RETURNED,SOUTH,False
9,438.0,2025-06-29 17:48:26,RETURNED,WEST,False
10,327.0,2025-05-18 20:12:48,DELIVERED,SOUTH,False
11,485.0,2024-04-20 03:58:21,DELIVERED,SOUTH,False
12,60.0,2025-06-15 19:38:02,DELIVERED,CENTRAL,False
13,249.0,2024-10-28 00:43:54,DELIVERED,WEST,False
14,95.0,2025-03-31 00:29:06,SHIPPED,EAST,False
15,41.0,2023-10-23 12:47:53,DELIVERED,CENTRAL,False
16,214.0,2025-01-20 07:27:08,RETURNED,SOUTH,False
17,121.0,2025-06-12 01:25:08,DELIVERED,SOUTH,False
18,210.0,2024-10-13 01:45:26,DELIVERED,EAST,False
19,547.0,2024-11-06 21:02:32,DELIVERED,CENTRAL,False
20,478.0,2025-01-19 03:32:51,DELIVERED,EAST,False
21,380.0,2025-03-05 12:38:40,DELIVERED,SOUTH,False
22,17.0,2025-03-10 06:35:27,DELIVERED,WEST,False
23,201.0,2024-03-04 05:08:04,DELIVERED,SOUTH,False
24,346.0,2024-05-04 20:55:06,DELIVERED,WEST,False
25,361.0,2025-04-09 20:50:07,DELIVERED,SOUTH,False
26,556.0,2025-04-14 12:11:43,DELIVERED,NORTH,False
27,50.0,2025-01-14 16:18:31,SHIPPED,SOUTH,False
28,155.0,2025-05-31 10:39:02,DELIVERED,NORTH,False
29,495.0,2025-05-29 00:14:37,PLACED,CENTRAL,False
30,18.0,2025-05-03 19:15:54,DELIVERED,EAST,False
31,,2025-02-21 14:20:57,DELIVERED,SOUTH,True
32,99.0,2025-05-25 15:37:34,SHIPPED,CENTRAL,False
33,363.0,2024-06-12 15:17:39,PLACED,WEST,False
34,250.0,2025-04-20 13:25:37,DELIVERED,NORTH,False
35,33.0,2024-08-28 07:29:16,DELIVERED,WEST,False
36,10.0,2024-05-14 02:49:17,CANCELLED,EAST,False
37,98.0,2025-03-16 05:36:02,SHIPPED,CENTRAL,False
