customer_id,total_value,quartile,quartile_label
87.0,1478012.24,1,Platinum
352.0,1463296.04,1,Platinum
451.0,1454531.58,1,Platinum
346.0,1439592.22,1,Platinum
331.0,1396853.13,1,Platinum
46.0,1360864.84,1,Platinum
455.0,1321354.07,1,Platinum
37.0,1308576.0,1,Platinum
158.0,1269491.57,1,Platinum
121.0,1256135.97,1,Platinum
110.0,1243614.19,1,Platinum
500.0,1241901.41,1,Platinum
41.0,1229846.04,1,Platinum
152.0,1228142.25,1,Platinum
546.0,1214952.44,1,Platinum
554.0,1197914.37,1,Platinum
465.0,1191177.49,1,Platinum
544.0,1167807.19,1,Platinum
67.0,1157887.16,1,Platinum
75.0,1150766.39,1,Platinum
166.0,1128058.26,1,Platinum
560.0,1120458.51,1,Platinum
580.0,1115293.47,1,Platinum
101.0,1100309.84,1,Platinum
404.0,1090532.28,1,Platinum
308.0,1082615.55,1,Platinum
468.0,1077321.04,1,Platinum
474.0,1075132.56,1,Platinum
587.0,1069949.44,1,Platinum
79.0,1068593.15,1,Platinum
588.0,1049661.29,1,Platinum
265.0,1043995.47,1,Platinum
312.0,1043900.37,1,Platinum
589.0,1037986.86,1,Platinum
549.0,1032894.39,1,Platinum
374.0,1032749.31,1,Platinum
111.0,1020674.66,1,Platinum
532.0,1015953.1,1,Platinum
521.0,1015291.53,1,Platinum
382.0,1011132.96,1,Platinum
488.0,1001767.6,1,Platinum
333.0,997153.75,1,Platinum
318.0,996757.68,1,Platinum
443.0,981709.41,1,Platinum
169.0,979189.73,1,Platinum
577.0,973987.52,1,Platinum
228.0,970516.08,1,Platinum
367.0,970349.04,1,Platinum
423.0,968000.69,1,Platinum
422.0,967941.65,1,Platinum
212.0,955535.38,1,Platinum
109.0,953580.54,1,Platinum
383.0,938155.75,1,Platinum
598.0,933888.61,1,Platinum
146.0,931424.92,1,Platinum
58.0,919773.33,1,Platinum
434.0,918652.41,1,Platinum
583.0,913771.07,1,Platinum
177.0,908713.95,1,Platinum
309.0,900469.89,1,Platinum
230.0,888884.15,1,Platinum
143.0,888374.92,1,Platinum
1.0,887116.03,1,Platinum
530.0,884836.11,1,Platinum
189.0,883238.88,1,Platinum
421.0,879678.76,1,Platinum
547.0,876079.99,1,Platinum
453.0,866572.15,1,Platinum
171.0,862975.0,1,Platinum
207.0,861014.31,1,Platinum
150.0,860100.78,1,Platinum
502.0,854687.95,1,Platinum
505.0,848520.67,1,Platinum
270.0,848134.16,1,Platinum
487.0,840305.75,1,Platinum
364.0,829514.23,1,Platinum
86.0,826858.04,1,Platinum
456.0,825352.55,1,Platinum
394.0,822677.71,1,Platinum
548.0,821934.74,1,Platinum
56.0,810441.43,1,Platinum
128.0,806254.02,1,Platinum
321.0,796704.45,1,Platinum
329.0,795109.78,1,Platinum
147.0,794626.22,1,Platinum
522.0,793791.93,1,Platinum
504.0,787967.16,1,Platinum
63.0,787263.8,1,Platinum
130.0,786302.33,1,Platinum
100.0,785259.09,1,Platinum
567.0,783713.62,1,Platinum
